claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
10464,59,F,0.0,63,40768,0,1,Own,80047,5/30/2015,Saturday,Local,0,1.0,86,Broker,1,7037.673206999999,7.0,Medium,30248.41426,white,8770.928699,0
10465,52,F,1.0,87,39523,1,1,Own,85050,9/26/2016,Monday,Highway,1,0.0,50,Phone,1,10557.31783,8.0,Medium,24498.73611,blue,19519.81262,0
10466,49,M,0.0,66,38908,1,1,Own,85021,8/10/2016,Wednesday,Local,0,1.0,27,Phone,1,2293.181083,7.0,Large,29260.8747,silver,26336.79872,0
10467,49,F,1.0,88,38935,0,0,Rent,20160,9/23/2015,Wednesday,Local,0,0.0,61,Broker,1,5681.492722,5.0,Large,31533.505760000004,white,27920.71862,0
10468,62,M,1.0,81,41263,0,0,Own,20108,11/25/2016,Friday,Highway,0,0.0,27,Phone,1,3783.397712,8.0,Large,16038.7896,red,52882.56745,0
10469,44,F,1.0,72,37852,0,1,Own,20129,4/26/2016,Tuesday,Parking Lot,0,0.0,49,Broker,0,6293.36852,6.0,Compact,30329.37353,gray,17078.00041,1
10470,45,M,1.0,74,38069,0,0,Rent,50002,10/19/2016,Wednesday,Local,0,1.0,49,Phone,0,5327.553706000001,6.0,Compact,9474.994082,red,25332.54783,0
10471,30,F,1.0,84,34012,0,1,Own,80004,10/9/2016,Sunday,Local,0,0.0,41,Broker,1,5373.4286170000005,2.0,Large,10808.77562,red,24450.12115,0
10472,40,M,1.0,67,36910,1,1,Rent,80021,4/5/2015,Sunday,Local,0,1.0,56,Broker,0,4764.0692850000005,2.0,Large,37541.78098,silver,12099.07944,0
10473,30,F,0.0,42,34034,1,1,Own,15009,2/6/2015,Friday,Local,0,1.0,28,Broker,1,5055.962837,3.0,Compact,24070.9571,white,36412.02225,0
10474,54,M,1.0,92,39897,1,1,Own,50003,10/15/2015,Thursday,Highway,5,1.0,100,Broker,1,5072.301291,5.0,Large,59071.8016,gray,18237.5104,1
10475,61,F,1.0,70,41101,1,1,Own,80037,3/15/2016,Tuesday,Parking Lot,0,1.0,24,Broker,1,2935.967607,4.0,Large,14555.06149,black,13654.936630000002,0
10476,40,M,1.0,63,36909,1,1,Own,50031,9/11/2016,Sunday,Highway,1,0.0,100,Phone,1,4513.178186,2.0,Compact,37021.23539,black,34223.57099,0
10477,46,F,0.0,37,38287,0,1,Rent,20101,9/27/2016,Tuesday,Local,0,0.0,13,Online,1,1917.643192,3.0,Large,8645.769781,silver,28583.41117,1
10478,59,F,1.0,71,40780,0,1,Own,85051,12/4/2016,Sunday,Local,1,0.0,96,Broker,0,3224.874091,6.0,Large,23290.91049,other,40313.13792,0
10479,30,M,1.0,90,34020,1,1,Rent,50022,2/19/2015,Thursday,Local,0,0.0,100,Broker,1,2197.395864,6.0,Medium,8698.758375,black,15640.45548,0
10480,58,F,1.0,67,40583,0,1,Own,50009,12/16/2015,Wednesday,Local,2,0.0,2,Broker,1,3916.352909,0.0,Large,21489.17937,silver,13806.33847,0
10481,41,F,1.0,82,37128,1,1,Rent,50023,4/29/2016,Friday,Local,0,0.0,81,Phone,0,10907.08878,5.0,Large,62785.65203,gray,13937.30433,0
10482,39,F,1.0,85,36630,1,0,Rent,80021,3/1/2016,Tuesday,Highway,0,1.0,7,Broker,1,4681.183416,7.0,Large,12585.32822,gray,17588.93348,0
10483,44,F,0.0,79,37850,1,1,Rent,85033,9/10/2016,Saturday,Local,1,1.0,67,Broker,1,4687.4844570000005,5.0,Medium,16911.2291,gray,6274.083468,0
10484,52,M,0.0,82,39506,1,1,Rent,85019,11/25/2015,Wednesday,Local,1,0.0,68,Broker,0,6244.139501,4.0,Compact,11879.54834,white,12993.2966,0
10485,30,F,1.0,63,34011,0,0,Own,80104,4/1/2015,Wednesday,Highway,0,0.0,0,Broker,1,7276.611819,4.0,Large,45649.87603,red,24016.89944,0
10486,58,F,1.0,56,40612,1,0,Own,50042,7/1/2015,Wednesday,Parking Lot,0,0.0,1,Broker,0,4139.985849000001,2.0,Large,21330.87504,other,20720.68948,0
10487,54,F,1.0,63,39891,1,1,Own,15009,7/28/2016,Thursday,Parking Lot,0,0.0,19,Broker,0,8596.996851,9.0,Medium,28094.38193,other,10918.70416,1
10488,50,F,1.0,86,39125,0,1,Own,80021,12/24/2015,Thursday,Local,1,0.0,75,Online,1,4145.366717,7.0,Compact,25548.26638,gray,12457.8212,0
10489,36,F,0.0,77,35854,1,1,Rent,50050,4/15/2015,Wednesday,Local,0,0.0,27,Phone,0,2181.904366,6.0,Large,35556.61036,gray,20817.72585,0
10490,50,M,1.0,88,39125,1,1,Rent,20142,1/21/2016,Thursday,Parking Lot,0,0.0,17,Broker,0,4778.376627000001,6.0,Large,14931.74593,silver,20266.27605,0
10491,37,M,1.0,80,36117,0,1,Rent,15033,9/6/2016,Tuesday,Local,0,1.0,0,Broker,1,8595.840823999999,5.0,Compact,16392.71061,black,21514.79858,1
10492,50,M,1.0,91,39116,1,0,Own,80027,11/20/2015,Friday,Parking Lot,0,0.0,100,Broker,1,1719.3453949999998,3.0,Compact,39567.7756,red,70669.78999,0
10493,36,M,1.0,93,35826,0,0,Rent,15012,11/13/2016,Sunday,Local,1,0.0,66,Broker,1,3273.538239,6.0,Compact,13501.60127,red,17906.14302,1
10494,41,F,0.0,91,37129,0,1,Rent,80110,1/25/2015,Sunday,Highway,1,0.0,93,Phone,1,3941.689549,7.0,Compact,39648.22182,red,15634.51746,0
10495,55,M,1.0,83,40095,1,1,Rent,80010,10/21/2015,Wednesday,Highway,0,0.0,93,Broker,0,10021.5125,7.0,Large,32447.3335,gray,24537.6486,0
10496,51,F,1.0,85,39319,0,1,Own,85027,3/11/2015,Wednesday,Parking Lot,0,1.0,70,Broker,0,6113.609257,6.0,Compact,38245.96898,silver,19851.10181,0
10497,52,F,1.0,77,39506,0,1,Rent,80022,2/5/2016,Friday,Highway,0,0.0,78,Online,0,5817.941523,2.0,Compact,4873.926805,blue,21746.37352,0
10498,52,M,1.0,53,39503,1,1,Own,50025,7/12/2016,Tuesday,Local,0,0.0,34,Online,1,4175.149803,4.0,Compact,15322.6992,other,18359.62065,0
10499,26,M,0.0,94,32577,1,1,Rent,85001,10/9/2016,Sunday,Local,0,0.0,3,Phone,1,7246.351815000001,8.0,Compact,35416.12127,red,34309.24984,0
10500,25,F,1.0,88,32195,1,0,Own,50020,8/3/2015,Monday,Local,0,0.0,13,Online,0,2713.416334,7.0,Compact,14334.44957,blue,35131.25069,0
10501,28,M,1.0,47,33328,1,0,Rent,20148,6/30/2015,Tuesday,Local,0,1.0,86,Broker,1,1362.752924,6.0,Medium,33424.0314,gray,16183.28134,0
10502,72,F,1.0,60,42776,1,0,Own,20112,3/25/2015,Wednesday,Local,0,0.0,29,Online,1,7635.225898000001,4.0,Large,11170.78188,blue,15804.220969999998,0
10503,67,M,1.0,81,42044,1,0,Own,85044,5/17/2016,Tuesday,Local,0,1.0,93,Broker,1,5282.89397,4.0,Compact,38108.24395,gray,41254.42884,0
10504,38,F,1.0,69,36368,1,1,Own,50055,1/1/2015,Thursday,Parking Lot,0,1.0,50,Phone,0,3723.0203,9.0,Compact,44771.13838,black,26247.72813,0
10505,27,M,0.0,71,32979,1,0,Own,80011,3/1/2015,Sunday,Local,1,0.0,6,Phone,0,4853.120893,4.0,Large,22043.23024,blue,12036.70375,0
10506,55,M,1.0,54,40077,1,1,Own,50009,10/1/2015,Thursday,Highway,1,0.0,39,Phone,0,10005.49334,6.0,Medium,27612.3333,blue,26801.58227,0
10507,30,F,1.0,59,34013,1,0,Own,80002,7/24/2015,Friday,Parking Lot,0,0.0,50,Broker,0,7214.259578,1.0,Large,11626.55973,black,15527.83549,0
10508,47,F,1.0,64,38511,0,0,Rent,15055,5/30/2015,Saturday,Local,4,0.0,57,Broker,1,2869.032516,8.0,Medium,10823.02698,black,6746.927804999999,1
10509,37,F,1.0,77,36127,1,1,Rent,20105,3/28/2015,Saturday,Parking Lot,0,1.0,71,Phone,0,4573.098981,7.0,Compact,15504.271180000002,black,21556.35289,0
10510,64,M,1.0,76,41589,0,1,Own,85005,2/28/2016,Sunday,Highway,0,0.0,2,Online,1,4655.919285,9.0,Medium,17719.28065,white,26701.51273,0
10511,28,M,1.0,61,33328,1,0,Rent,80104,4/29/2015,Wednesday,Local,1,0.0,50,Phone,0,5248.004482,7.0,Large,28273.895160000004,blue,19246.91398,0
10512,21,F,0.0,84,30461,0,1,Own,15032,5/22/2016,Sunday,Local,0,0.0,59,Broker,0,2878.416734,4.0,Large,21076.26942,silver,11164.86443,1
10513,34,F,1.0,83,35259,1,0,Rent,80031,3/15/2016,Tuesday,Local,0,0.0,18,Phone,0,2599.5347070000003,3.0,Compact,6524.302303,gray,24663.60204,0
10514,37,F,1.0,73,36108,1,1,Own,80036,8/20/2015,Thursday,Highway,0,1.0,0,Phone,0,3308.084506,5.0,Compact,33585.716660000006,red,16159.33585,0
10515,45,F,1.0,76,38064,1,1,Own,20122,5/20/2016,Friday,Local,0,1.0,98,Broker,1,4991.852884,7.0,Large,19272.61155,black,18764.53883,0
10516,37,F,0.0,94,36101,0,1,Own,20111,7/23/2015,Thursday,Highway,0,0.0,100,Phone,0,5808.721406000001,5.0,Large,11915.72542,gray,12766.60983,0
10517,58,F,1.0,75,40610,1,0,Rent,15044,2/8/2016,Monday,Parking Lot,2,1.0,100,Broker,1,4323.921709,4.0,Large,9215.374847,gray,25789.79782,0
10518,38,F,1.0,85,36382,1,1,Own,80025,10/7/2015,Wednesday,Local,2,1.0,91,Online,1,3669.873142,7.0,Compact,29898.65052,blue,23246.80304,1
10519,61,F,0.0,84,41123,1,1,Rent,50039,2/4/2015,Wednesday,Highway,0,1.0,97,Broker,1,5428.722629,6.0,Medium,10401.19105,other,8834.799051,1
10520,26,F,1.0,23,32555,1,1,Rent,85006,9/23/2016,Friday,Local,0,0.0,75,Online,0,6414.442875,0.0,Medium,20807.86556,black,24613.89211,0
10521,46,F,0.0,87,38278,1,0,Own,80020,1/15/2015,Thursday,Parking Lot,1,0.0,70,Broker,1,6557.73561,4.0,Compact,12320.06298,silver,4771.284729,0
10522,32,F,1.0,84,34658,0,1,Rent,15024,3/4/2015,Wednesday,Parking Lot,1,1.0,12,Broker,1,6206.206989,6.0,Medium,10595.08162,red,13561.264830000002,0
10523,33,M,1.0,68,34967,1,1,Rent,20160,9/17/2015,Thursday,Parking Lot,0,0.0,99,Broker,0,6121.427754,3.0,Compact,29624.23759,other,30902.12532,1
10524,40,M,1.0,86,36893,0,0,Own,15047,12/27/2016,Tuesday,Parking Lot,0,0.0,25,Broker,1,6482.639515,3.0,Compact,32547.8533,white,7024.659697,0
10525,38,F,1.0,70,36379,0,1,Own,20107,2/29/2016,Monday,Parking Lot,0,0.0,0,Phone,1,1029.9989449999998,8.0,Medium,56782.35994,silver,20571.83714,1
10526,27,M,0.0,82,32940,1,1,Rent,15026,2/23/2015,Monday,Local,3,0.0,0,Broker,1,6218.243015999999,4.0,Compact,26337.24035,white,9246.425679,0
10527,55,F,0.0,64,40068,0,0,Own,20104,2/26/2016,Friday,Local,0,1.0,100,Broker,1,3821.150271,2.0,Compact,17756.348159999998,black,22473.01551,0
10528,52,M,0.0,32,39540,1,1,Rent,50047,4/30/2016,Saturday,Local,1,0.0,50,Online,1,7896.760754999999,1.0,Medium,13569.597919999998,other,14357.87231,0
10529,55,F,0.0,82,40049,1,0,Rent,50022,9/30/2015,Wednesday,Parking Lot,0,0.0,70,Online,0,5579.975164,4.0,Medium,17309.08806,silver,25101.96045,0
10530,42,M,1.0,80,37369,0,1,Rent,20117,5/28/2016,Saturday,Parking Lot,0,0.0,100,Phone,0,7509.654362,6.0,Medium,6527.646664,white,7688.519951,0
10531,42,F,1.0,78,37386,1,1,Own,15010,7/19/2015,Sunday,Highway,0,0.0,0,Phone,0,4766.821106,9.0,Large,9504.247992,blue,5115.174982,0
10532,22,M,1.0,88,30907,1,0,Rent,85051,4/19/2015,Sunday,Parking Lot,1,0.0,51,Broker,1,4647.815664,7.0,Compact,40405.67958,other,18182.95266,0
10533,48,M,1.0,87,38723,1,0,Own,50011,3/21/2016,Monday,Local,0,0.0,59,Phone,1,3022.157688,5.0,Compact,9801.362715,other,11529.34889,0
10534,33,F,1.0,86,34976,0,1,Rent,80021,12/25/2016,Sunday,Parking Lot,0,0.0,88,Phone,1,6221.281983,5.0,Large,25204.65775,red,19799.51616,0
10535,34,F,1.0,82,35258,1,0,Own,50049,11/6/2015,Friday,Local,0,0.0,3,Phone,1,5214.294195,3.0,Large,12498.72323,white,22065.7149,0
10536,57,F,1.0,70,40414,1,1,Rent,85026,11/24/2016,Thursday,Local,0,0.0,94,Broker,0,6203.512781,7.0,Large,14198.93163,other,28996.75336,0
10537,45,F,1.0,57,38043,1,1,Rent,15017,5/1/2016,Sunday,Local,0,0.0,35,Broker,1,2551.768936,8.0,Compact,65833.81767,white,40373.05088,1
10538,31,F,0.0,76,34352,1,0,Rent,50006,4/27/2016,Wednesday,Local,1,0.0,49,Online,1,1407.119459,7.0,Medium,22818.95854,other,21556.75045,0
10539,34,M,0.0,65,35263,1,0,Own,15015,4/21/2015,Tuesday,Parking Lot,0,0.0,69,Broker,0,3371.904862,7.0,Medium,19044.69136,other,18419.67088,0
10540,29,F,1.0,68,33686,1,0,Rent,20131,6/21/2016,Tuesday,Local,2,0.0,99,Broker,1,15727.8915,7.0,Medium,23008.01275,red,8059.404098999999,0
10541,33,F,0.0,78,34965,1,0,Own,15001,11/15/2016,Tuesday,Parking Lot,0,1.0,0,Phone,1,6348.815522,5.0,Large,10625.96012,other,21841.41558,0
10542,29,M,1.0,73,33672,0,1,Rent,20109,7/16/2016,Saturday,Parking Lot,0,0.0,34,Broker,0,3017.762619,5.0,Compact,17878.94986,silver,39287.18812,0
10543,34,M,1.0,71,35260,1,1,Rent,85027,2/23/2015,Monday,Local,0,0.0,21,Broker,1,4496.0592,4.0,Compact,26036.4944,red,33994.80272,0
10544,59,M,1.0,74,40795,1,1,Own,85040,1/19/2016,Tuesday,Parking Lot,2,0.0,80,Broker,1,6128.777842,4.0,Large,8175.941281,blue,5417.412871,0
10545,76,F,1.0,53,43319,0,1,Rent,50008,1/18/2016,Monday,Highway,0,1.0,78,Phone,0,4188.699779,5.0,Large,25755.17267,gray,17065.181969999998,1
10546,38,M,0.0,94,36360,1,0,Own,80033,9/1/2016,Thursday,Highway,3,0.0,0,Broker,1,3673.742983,4.0,Large,33355.7914,black,56129.178620000006,0
10547,44,M,1.0,68,37844,1,1,Own,50039,12/31/2016,Saturday,Parking Lot,0,0.0,46,Phone,1,4939.82883,8.0,Medium,17466.01985,white,8777.786234000001,0
10548,33,M,1.0,78,34966,0,0,Rent,15009,11/16/2016,Wednesday,Parking Lot,0,0.0,0,Phone,0,10019.37887,5.0,Large,13557.27896,red,29216.6556,0
10549,42,F,1.0,91,37362,1,1,Own,85019,8/22/2016,Monday,Parking Lot,2,0.0,98,Broker,1,5005.348749,3.0,Compact,32687.69404,red,24180.90854,0
10550,34,M,1.0,63,35264,1,0,Own,15047,12/9/2015,Wednesday,Local,0,0.0,30,Broker,1,7440.261777,5.0,Large,19038.34668,white,15938.372119999998,0
10551,26,F,1.0,87,32575,1,1,Rent,85008,12/25/2015,Friday,Parking Lot,1,0.0,13,Online,0,4603.089348,3.0,Large,14726.74757,other,33716.6021,0
10552,71,F,1.0,43,42625,0,0,Own,85020,3/22/2015,Sunday,Local,2,1.0,1,Broker,1,11404.24044,1.0,Medium,20073.84161,gray,15253.26419,0
10553,48,F,1.0,66,38717,1,0,Rent,15001,4/30/2016,Saturday,Highway,0,0.0,73,Broker,0,7697.521420999999,3.0,Large,10920.84788,silver,23962.5217,1
10554,55,M,0.0,79,40064,1,0,Own,85051,5/24/2015,Sunday,Local,0,0.0,73,Online,0,5329.189622,7.0,Compact,16654.34592,silver,6222.619925,0
10555,39,F,1.0,58,36639,1,1,Own,15010,3/24/2015,Tuesday,Local,0,0.0,13,Broker,1,6400.311372,7.0,Medium,24350.56054,other,40317.82409,1
10556,32,F,1.0,89,34657,0,1,Own,85011,5/3/2015,Sunday,Local,2,0.0,58,Phone,0,6004.675035,7.0,Large,17622.43171,blue,30542.30093,0
10557,34,M,1.0,75,35260,1,1,Own,50021,4/8/2015,Wednesday,Parking Lot,0,0.0,43,Online,1,6058.539339,2.0,Compact,37334.69302,white,14674.64386,1
10558,49,F,1.0,58,38905,1,1,Own,80014,5/6/2015,Wednesday,Parking Lot,4,0.0,45,Phone,1,3277.646,5.0,Compact,20442.96556,silver,29985.66058,0
10559,47,M,0.0,66,38478,1,0,Rent,50002,11/26/2016,Saturday,Parking Lot,0,0.0,29,Online,0,3992.836671,4.0,Large,10097.33419,blue,31316.40808,0
10560,40,F,1.0,76,36901,1,1,Own,80028,6/17/2015,Wednesday,Parking Lot,1,0.0,100,Phone,1,9071.541777,3.0,Large,23000.63316,blue,34406.403289999995,0
10561,39,M,1.0,68,36637,0,1,Own,50025,12/1/2016,Thursday,Local,1,1.0,4,Broker,0,2224.154566,4.0,Large,28347.56751,silver,30672.46151,1
10562,56,M,1.0,76,40246,0,1,Rent,80042,12/11/2016,Sunday,Local,0,0.0,47,Broker,1,5316.668049,8.0,Compact,27010.06097,other,13307.65844,0
10563,48,M,0.0,60,38729,1,0,Rent,20122,6/17/2016,Friday,Local,0,0.0,54,Broker,0,6078.947017,4.0,Medium,10423.39253,other,18381.80334,0
10564,38,M,0.0,88,36380,1,1,Rent,20120,7/30/2016,Saturday,Local,2,0.0,50,Phone,1,4861.105079999999,4.0,Large,10021.89595,silver,26569.77788,0
10565,45,F,1.0,73,38074,1,1,Own,50035,12/9/2016,Friday,Highway,0,0.0,41,Online,0,7060.45367,5.0,Large,6535.963614,blue,23165.39468,1
10566,27,F,1.0,76,32959,1,0,Rent,15006,5/11/2015,Monday,Highway,1,1.0,42,Phone,1,8285.411376,4.0,Medium,17922.26035,blue,46386.91016,0
10567,59,F,1.0,60,40770,1,0,Own,15035,12/30/2016,Friday,Parking Lot,0,1.0,32,Broker,1,8108.573037999999,5.0,Medium,22750.19207,other,27192.35279,0
10568,31,M,1.0,74,34348,0,0,Rent,15004,9/20/2015,Sunday,Parking Lot,0,0.0,17,Online,1,4716.041824,7.0,Medium,16524.53937,silver,13746.38578,0
10569,43,F,1.0,54,37585,1,1,Own,20106,4/5/2015,Sunday,Local,0,0.0,51,Online,0,3649.923777,3.0,Compact,22186.95178,silver,14575.25162,1
10570,37,M,1.0,71,36099,0,1,Rent,85046,6/4/2016,Saturday,Local,0,0.0,49,Phone,0,3851.327238,9.0,Medium,8561.837598,silver,33533.35152,0
10571,45,M,1.0,79,38063,0,0,Rent,20163,9/16/2016,Friday,Local,1,1.0,36,Phone,1,7378.172275,4.0,Large,10668.51696,white,22439.79952,0
10572,42,M,0.0,74,37379,0,0,Rent,85023,11/22/2015,Sunday,Highway,0,0.0,4,Phone,1,1455.312872,4.0,Compact,19912.4806,white,4484.8840390000005,0
10573,44,F,1.0,92,37849,1,0,Rent,50051,2/2/2015,Monday,Parking Lot,0,0.0,4,Broker,1,4540.548533,2.0,Medium,25568.48568,white,24459.77505,0
10574,40,M,1.0,64,36898,1,1,Own,80028,7/17/2015,Friday,Highway,0,0.0,0,Broker,1,5811.14924,3.0,Large,36941.67565,red,17742.71576,0
10575,36,M,0.0,67,35806,1,0,Rent,85065,7/24/2015,Friday,Parking Lot,0,0.0,0,Phone,0,7323.433603,8.0,Compact,13802.85671,other,10144.9739,0
10576,33,M,0.0,84,34961,1,1,Own,85064,1/24/2016,Sunday,Parking Lot,0,0.0,31,Online,0,7033.023781999999,10.0,Compact,35223.1536,other,28587.52389,1
10577,29,M,0.0,60,33669,1,1,Rent,15009,1/16/2016,Saturday,Parking Lot,3,1.0,51,Online,1,5669.870094,9.0,Compact,7058.646723999999,blue,8667.464867,0
10578,36,M,0.0,66,35842,0,0,Own,15049,6/27/2015,Saturday,Parking Lot,0,0.0,34,Broker,1,3804.792245,4.0,Medium,12840.32896,red,12717.00611,0
10579,52,M,1.0,92,39503,0,0,Own,20104,11/11/2016,Friday,Parking Lot,1,0.0,99,Broker,1,11827.66884,3.0,Large,15181.98922,white,7789.314717,0
10580,38,F,1.0,76,36369,1,0,Own,85018,5/16/2015,Saturday,Highway,0,1.0,1,Phone,1,4469.282055,10.0,Medium,11794.76655,red,19148.18315,0
10581,50,F,0.0,74,39123,1,1,Own,15057,5/29/2015,Friday,Local,3,0.0,73,Online,1,9942.200338,10.0,Large,24668.78998,black,21892.33965,0
10582,60,F,1.0,92,40943,1,1,Own,85007,11/5/2015,Thursday,Local,1,0.0,93,Broker,1,4392.122201,6.0,Medium,22711.340180000003,black,18704.843,0
10583,42,F,1.0,54,37378,1,1,Rent,15046,3/29/2015,Sunday,Local,0,0.0,93,Broker,0,2769.13099,4.0,Compact,7956.688523999999,white,14254.695069999998,0
10584,42,F,1.0,80,37378,0,0,Rent,50047,2/1/2015,Sunday,Highway,0,0.0,70,Broker,1,4812.391706,4.0,Large,20643.13015,red,26522.69912,0
10585,32,F,1.0,83,34659,1,0,Own,50013,8/13/2015,Thursday,Local,0,0.0,18,Broker,0,7961.907235,8.0,Compact,8678.408248,black,19119.95632,0
10586,26,M,1.0,95,32572,0,0,Rent,15043,11/18/2016,Friday,Local,1,0.0,28,Broker,1,6930.805701,7.0,Compact,24151.40915,silver,22973.90633,0
10587,47,M,1.0,53,38507,1,0,Own,20132,11/15/2016,Tuesday,Local,1,0.0,49,Phone,0,4171.581383,2.0,Large,42877.75093,gray,38955.00647,0
10588,32,F,1.0,83,34643,0,1,Rent,50044,4/27/2016,Wednesday,Local,1,0.0,72,Broker,1,2923.541812,4.0,Large,12954.07431,gray,16025.00766,1
10589,67,M,1.0,88,42040,1,0,Rent,80040,1/27/2015,Tuesday,Local,2,0.0,98,Phone,1,6340.278607,3.0,Medium,16316.53472,red,39348.90785,0
10590,62,F,1.0,93,41259,1,0,Rent,85039,1/22/2016,Friday,Local,0,0.0,13,Online,0,5450.207184000001,4.0,Large,34575.434460000004,other,29801.355710000003,0
10591,47,F,1.0,80,38504,1,1,Rent,85060,1/6/2015,Tuesday,Highway,0,1.0,68,Broker,0,14149.03879,0.0,Medium,14026.61425,blue,23548.03361,0
10592,44,F,1.0,58,37848,0,1,Rent,80102,11/26/2015,Thursday,Parking Lot,0,0.0,50,Phone,0,7700.095554,3.0,Large,24854.62534,black,20827.17174,0
10593,49,M,1.0,72,38925,1,1,Own,20159,7/24/2016,Sunday,Highway,0,0.0,50,Phone,0,3281.776175,6.0,Large,33594.78237,silver,10096.02065,0
10594,32,M,1.0,77,34657,1,1,Own,15003,2/21/2015,Saturday,Local,1,0.0,52,Broker,0,7936.916784999999,4.0,Medium,21199.65755,blue,17612.894819999998,1
10595,39,M,1.0,51,36653,1,0,Rent,20136,2/1/2015,Sunday,Highway,0,0.0,0,Broker,0,4810.02699,6.0,Compact,11974.59676,blue,13625.97804,0
10596,46,M,1.0,89,38268,1,0,Own,50054,6/17/2015,Wednesday,Local,1,0.0,63,Broker,1,3396.650072,3.0,Compact,21840.19196,white,9955.173883,0
10597,38,M,1.0,74,36385,0,1,Own,20140,11/28/2015,Saturday,Local,1,0.0,98,Phone,1,5093.682133,4.0,Medium,29032.49164,black,9820.311121,0
10598,43,M,1.0,75,37621,1,1,Own,80105,1/29/2015,Thursday,Highway,0,0.0,17,Phone,0,8549.202584999999,7.0,Compact,11834.65935,silver,35746.118630000004,0
10599,54,M,1.0,50,39883,0,0,Own,50049,12/21/2016,Wednesday,Parking Lot,0,0.0,10,Broker,0,7871.557773,4.0,Medium,25420.75281,blue,14586.07277,0
10600,56,M,1.0,87,40248,1,0,Own,50040,1/27/2016,Wednesday,Parking Lot,0,0.0,71,Broker,1,3926.996883,6.0,Medium,27951.50612,black,40175.42264,1
10601,46,F,1.0,74,38286,0,1,Own,85019,3/17/2016,Thursday,Local,0,0.0,97,Broker,0,3349.885829,5.0,Medium,21949.73979,gray,11331.36292,0
10602,20,M,1.0,94,29965,1,0,Rent,80002,8/15/2015,Saturday,Local,0,0.0,50,Broker,1,4586.659749,5.0,Medium,39288.03688,other,34123.4746,0
10603,48,M,1.0,76,38713,1,0,Rent,20108,3/20/2015,Friday,Local,0,0.0,76,Broker,1,3044.992642,5.0,Large,15768.381830000002,black,7612.505190999999,1
10604,55,F,1.0,53,40081,1,0,Rent,85033,6/17/2016,Friday,Parking Lot,0,1.0,36,Broker,0,3231.587427,8.0,Medium,20845.94519,white,21861.04217,0
10605,59,F,1.0,88,40791,1,1,Own,85029,3/29/2016,Tuesday,Local,0,0.0,39,Phone,0,4467.141392,6.0,Large,22767.25081,silver,24357.39068,0
10606,48,M,1.0,88,38717,0,0,Own,50048,6/10/2015,Wednesday,Highway,0,0.0,97,Phone,0,4230.671802000001,1.0,Large,16250.18413,black,7515.363104000001,0
10607,26,M,1.0,44,32592,1,1,Rent,50052,2/24/2016,Wednesday,Local,0,0.0,88,Phone,0,5387.387145000001,6.0,Compact,14638.14563,gray,25950.23196,0
10608,29,M,1.0,70,33676,1,0,Rent,15059,5/24/2015,Sunday,Parking Lot,1,1.0,9,Broker,1,6002.566068,3.0,Compact,32740.00833,red,60315.6427,0
10609,49,M,1.0,78,38923,1,0,Rent,80022,1/24/2015,Saturday,Local,0,0.0,0,Phone,0,1866.26767,7.0,Large,39985.74597,silver,21620.36583,1
10610,51,F,1.0,64,39329,1,1,Own,80027,12/31/2015,Thursday,Parking Lot,0,1.0,66,Broker,1,4658.036224,4.0,Compact,30508.03428,other,5375.2401740000005,0
10611,28,F,1.0,67,33312,1,1,Rent,15012,10/1/2016,Saturday,Parking Lot,0,0.0,64,Broker,0,2340.745638,6.0,Medium,19825.44408,white,15378.58515,1
10612,49,M,0.0,78,38902,1,0,Own,50047,12/13/2015,Sunday,Parking Lot,0,1.0,48,Broker,0,3022.650327,8.0,Medium,10345.55197,white,17406.244459999998,0
10613,36,M,1.0,96,35828,1,0,Own,85064,5/31/2016,Tuesday,Parking Lot,1,0.0,70,Phone,1,3649.559069,11.0,Large,13885.11879,other,21608.80187,0
10614,55,F,1.0,88,40069,1,1,Rent,50027,5/21/2016,Saturday,Local,0,0.0,9,Broker,1,5549.908306,9.0,Large,16062.10177,other,30828.47933,0
10615,38,M,0.0,73,36377,1,0,Rent,85080,10/13/2016,Thursday,Parking Lot,0,1.0,0,Broker,1,5629.780509,4.0,Large,24109.76685,gray,38976.462230000005,0
10616,28,M,1.0,81,33331,1,0,Own,80022,8/18/2015,Tuesday,Parking Lot,1,0.0,7,Broker,1,6051.180659000001,7.0,Large,22586.64626,blue,31884.26232,0
10617,46,M,1.0,65,38303,1,1,Rent,15026,1/16/2015,Friday,Local,0,0.0,28,Online,0,6226.330943,8.0,Compact,13538.08088,silver,15284.39939,0
10618,41,M,1.0,68,37137,1,0,Own,15010,11/2/2016,Wednesday,Parking Lot,0,0.0,27,Broker,1,4894.932211,3.0,Large,10339.77684,blue,44266.00813,0
10619,46,F,1.0,74,38297,1,1,Own,80015,4/22/2015,Wednesday,Highway,0,1.0,82,Broker,1,6614.115329,4.0,Large,15973.869319999998,other,25894.82068,0
10620,39,M,1.0,66,36622,1,0,Own,20110,7/24/2015,Friday,Parking Lot,1,0.0,27,Broker,1,2747.240763,10.0,Compact,25766.86651,silver,13887.46718,0
